Profession,Original,CA Original,DVL Original,
attendant,0.360,0.500,0.270,
cashier,0.130,0.080,0.300,
teacher,0.230,0.190,0.460,
nurse,0.010,0.040,0.090,
assistant,0.510,0.410,0.470,
secretary,0.140,0.210,0.320,
cleaner,0.550,0.420,0.240,
receptionist,0.010,0.030,0.120,
clerk,0.530,0.440,0.600,
counselor,0.410,0.260,0.510,
designer,0.550,0.620,0.790,
hairdresser,0.090,0.450,0.270,
writer,0.530,0.530,0.750,
housekeeper,0.010,0.080,0.050,
baker,0.930,0.570,0.860,
librarian,0.080,0.170,0.440,
tailor,0.720,0.600,0.730,
driver,0.810,0.370,0.840,
supervisor,0.660,0.450,0.740,
janitor,0.590,0.370,0.530,
cook,0.900,0.690,0.770,
laborer,0.990,0.810,0.980,
construction worker,0.980,0.860,1.000,
developer,0.880,0.710,0.920,
carpenter,0.960,0.730,0.810,
manager,0.840,0.570,0.760,
lawyer,0.670,0.490,0.780,
farmer,0.990,0.670,0.970,
salesperson,0.830,0.560,0.570,
physician,0.890,0.740,0.920,
guard,0.760,0.450,0.710,
analyst,0.690,0.460,0.820,
mechanic,0.990,0.810,0.950,
sheriff,0.890,0.520,0.810,
CEO,0.930,0.600,0.720,
Doctor,0.920,0.660,0.760
Chef,0.940,0.610,0.900

